"id","uri","data","dataHoraRegistro","siglaOrgao","uriOrgao","uriEvento","proposicaoObjeto","uriProposicaoObjeto","descricao","aprovacao"
"104333-70","https://dadosabertos.camara.leg.br/api/v2/votacoes/104333-70","2023-01-31","2024-05-17T16:06:48","CPASF","https://dadosabertos.camara.leg.br/api/v2/orgaos/539387",NA,NA,NA,"[PARECER DADO AO PL 5269/2001 E CONSIDERADO VÁLIDO PARA O PL 11/2003, NOS TERMOS DO § 2º DO ART 105 DO RICD]: Aprovado por Unanimidade o Parecer. 
Parecer da Relatora, Dep. Solange Almeida (PMDB-RJ), pela aprovação deste, pela rejeição do PL 7249/2002, do PL 2415/1996, do PL 3046/1997, do PL 3422/1997, do PL 4360/1998, do PL 1568/1999, do PL 2029/1999, do PL 2507/2000, do PL 3573/2000, do PL 6333/2002, do PL 2134/1996, do PL 6276/2002, do PL 11/2003, do PL 593/2003, do PL 919/2003, do PL 1622/2003, do PL 2112/2003, do PL 2125/2003, do PL 2400/2003, do PL 3408/2004, do PL 3726/2004, do PL 3930/2004, do PL 4324/2004, do PL 4337/2004, do PL 4846/2005, do PL 6532/2006, do PL 911/2007, do PL 4566/2004, do PL 963/2007, e do PL 3013/2004, apensados.",1
"2301213-61","https://dadosabertos.camara.leg.br/api/v2/votacoes/2301213-61","2023-02-07","2023-02-07T18:50:25","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67091",NA,NA,"Aprovado o Projeto de Decreto Legislativo nº 776, de 2021.",1
"2301213-63","https://dadosabertos.camara.leg.br/api/v2/votacoes/2301213-63","2023-02-07","2023-02-07T18:50:55","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67091",NA,NA,"Aprovada a Redação Final assinada pelo Dep. Rui Falcão (PT-SP).",1
"2305154-57","https://dadosabertos.camara.leg.br/api/v2/votacoes/2305154-57","2023-02-07","2023-02-07T19:18:26","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67091",NA,NA,"Aprovado o Projeto de Decreto Legislativo nº 930, de 2021.",1
"2305154-59","https://dadosabertos.camara.leg.br/api/v2/votacoes/2305154-59","2023-02-07","2023-02-07T19:19:02","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67091",NA,NA,"Aprovada a Redação Final assinada pelo Dep. Rui Falcão (PT-SP).",1
"2310248-30","https://dadosabertos.camara.leg.br/api/v2/votacoes/2310248-30","2023-02-07","2023-02-07T20:11:48","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67091",NA,NA,"Aprovado o Projeto de Decreto Legislativo nº 1.101, de 2021.",1
"2310248-32","https://dadosabertos.camara.leg.br/api/v2/votacoes/2310248-32","2023-02-07","2023-02-07T20:13:39","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67091",NA,NA,"Aprovada a Redação Final assinada pelo Dep. Rui Falcão (PT-SP).",1
"2348205-14","https://dadosabertos.camara.leg.br/api/v2/votacoes/2348205-14","2023-02-08","2023-02-08T19:14:38","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67104",NA,NA,"Aprovado o Substitutivo ao Projeto de Resolução nº 15, de 2023, adotado pelo Relator da Comissão de Constituição e Justiça e de Cidadania.",1
"2348205-21","https://dadosabertos.camara.leg.br/api/v2/votacoes/2348205-21","2023-02-08","2023-02-08T19:30:04","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67104",NA,NA,"Aprovada a Redação Final assinada pelo Relator, Dep. Hugo Motta (REPUBLIC-PB).",1
"2348237-5","https://dadosabertos.camara.leg.br/api/v2/votacoes/2348237-5","2023-02-08","2023-02-08T19:42:26","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67104","REQ 94/2023","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348237","Aprovado o Requerimento de Urgência (Art. 155 do RICD).",1
"2348205-26","https://dadosabertos.camara.leg.br/api/v2/votacoes/2348205-26","2023-02-08","2023-02-08T19:42:27","SECAP(SGM)","https://dadosabertos.camara.leg.br/api/v2/orgaos/100001",NA,NA,NA,"Realizar o encaminhamento do PRC-15/2023 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1
"2313048-44","https://dadosabertos.camara.leg.br/api/v2/votacoes/2313048-44","2023-02-09","2023-02-09T10:03:29","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67107",NA,NA,"Aprovado o Projeto de Decreto Legislativo nº 1.130, de 2021.",1
"2313048-46","https://dadosabertos.camara.leg.br/api/v2/votacoes/2313048-46","2023-02-09","2023-02-09T10:04:18","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67107",NA,NA,"Aprovada a Redação Final assinada pelo Dep. Rui Falcão (PT-SP).",1
"2324976-40","https://dadosabertos.camara.leg.br/api/v2/votacoes/2324976-40","2023-02-09","2023-02-09T10:47:17","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67107",NA,NA,"Aprovado o Projeto de Decreto Legislativo nº 160, de 2022.",1
"2324976-42","https://dadosabertos.camara.leg.br/api/v2/votacoes/2324976-42","2023-02-09","2023-02-09T10:48:52","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67107",NA,NA,"Aprovada a Emenda de Comissão nº 1, de 2022.",1
"2324976-44","https://dadosabertos.camara.leg.br/api/v2/votacoes/2324976-44","2023-02-09","2023-02-09T10:49:16","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67107",NA,NA,"Aprovada a Redação Final assinada pelo Dep. Rui Falcão (PT-SP).",1
"2335151-30","https://dadosabertos.camara.leg.br/api/v2/votacoes/2335151-30","2023-02-14","2023-02-14T18:51:22","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67113",NA,NA,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1
"2335151-31","https://dadosabertos.camara.leg.br/api/v2/votacoes/2335151-31","2023-02-14","2023-02-14T18:51:35","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67113",NA,NA,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1
"2335151-33","https://dadosabertos.camara.leg.br/api/v2/votacoes/2335151-33","2023-02-14","2023-02-14T18:55:16","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67113",NA,NA,"Aprovada a Medida Provisória nº 1.138, de 2022.",1
"2335151-35","https://dadosabertos.camara.leg.br/api/v2/votacoes/2335151-35","2023-02-14","2023-02-14T18:56:04","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67113",NA,NA,"Aprovada a Redação Final assinada pelo relator, Dep. Pedro Paulo (PSD-RJ).",1
"2324977-60","https://dadosabertos.camara.leg.br/api/v2/votacoes/2324977-60","2023-02-15","2023-02-15T12:08:53","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67116",NA,NA,"Aprovado o Projeto de Decreto Legislativo nº 161, de 2022.",1
"2324977-62","https://dadosabertos.camara.leg.br/api/v2/votacoes/2324977-62","2023-02-15","2023-02-15T12:09:35","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67116",NA,NA,"Aprovada a Redação Final assinada pelo Dep. Rui Falcão (PT-SP).",1
"2267323-52","https://dadosabertos.camara.leg.br/api/v2/votacoes/2267323-52","2023-02-15","2023-02-15T12:15:59","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67116",NA,NA,"Aprovado o Substitutivo ao Projeto de Lei nº 5.543, de 2020, adotado pela relatora da Comissão de Saúde.",1
"2267323-54","https://dadosabertos.camara.leg.br/api/v2/votacoes/2267323-54","2023-02-15","2023-02-15T12:16:36","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67116",NA,NA,"Aprovada a Redação Final assinada pela relatora Dep. Flávia Morais (PDT-GO).",1
"2324989-41","https://dadosabertos.camara.leg.br/api/v2/votacoes/2324989-41","2023-02-15","2023-02-15T12:47:58","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67116",NA,NA,"Aprovado o Projeto de Decreto Legislativo nº 168, de 2022.",1
"2324989-43","https://dadosabertos.camara.leg.br/api/v2/votacoes/2324989-43","2023-02-15","2023-02-15T12:48:26","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67116",NA,NA,"Aprovada a Redação Final assinada pelo Dep. Rui Falcão (PT-SP).",1
"2349225-2","https://dadosabertos.camara.leg.br/api/v2/votacoes/2349225-2","2023-02-28","2023-02-28T15:38:01","CEXMABRU","https://dadosabertos.camara.leg.br/api/v2/orgaos/539407","https://dadosabertos.camara.leg.br/api/v2/eventos/67120","REQ 1/2023 CEXMABRU","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349225","Aprovado.",1
"2349228-2","https://dadosabertos.camara.leg.br/api/v2/votacoes/2349228-2","2023-02-28","2023-02-28T15:38:34","CEXMABRU","https://dadosabertos.camara.leg.br/api/v2/orgaos/539407","https://dadosabertos.camara.leg.br/api/v2/eventos/67120","REQ 2/2023 CEXMABRU","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349228","Aprovado.",1
"2349231-2","https://dadosabertos.camara.leg.br/api/v2/votacoes/2349231-2","2023-02-28","2023-02-28T15:39:06","CEXMABRU","https://dadosabertos.camara.leg.br/api/v2/orgaos/539407","https://dadosabertos.camara.leg.br/api/v2/eventos/67120","REQ 3/2023 CEXMABRU","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349231","Aprovado.",1
"2349331-2","https://dadosabertos.camara.leg.br/api/v2/votacoes/2349331-2","2023-02-28","2023-02-28T15:41:14","CEXMABRU","https://dadosabertos.camara.leg.br/api/v2/orgaos/539407","https://dadosabertos.camara.leg.br/api/v2/eventos/67120","REQ 4/2023 CEXMABRU","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349331","Aprovado.",1
"2349333-2","https://dadosabertos.camara.leg.br/api/v2/votacoes/2349333-2","2023-02-28","2023-02-28T15:41:22","CEXMABRU","https://dadosabertos.camara.leg.br/api/v2/orgaos/539407","https://dadosabertos.camara.leg.br/api/v2/eventos/67120","REQ 5/2023 CEXMABRU","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349333","Aprovado.",1
"2349334-2","https://dadosabertos.camara.leg.br/api/v2/votacoes/2349334-2","2023-02-28","2023-02-28T15:41:49","CEXMABRU","https://dadosabertos.camara.leg.br/api/v2/orgaos/539407","https://dadosabertos.camara.leg.br/api/v2/eventos/67120","REQ 6/2023 CEXMABRU","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349334","Aprovado.",1
"2349335-2","https://dadosabertos.camara.leg.br/api/v2/votacoes/2349335-2","2023-02-28","2023-02-28T15:42:36","CEXMABRU","https://dadosabertos.camara.leg.br/api/v2/orgaos/539407","https://dadosabertos.camara.leg.br/api/v2/eventos/67120","REQ 7/2023 CEXMABRU","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349335","Aprovado.",1
"2349337-4","https://dadosabertos.camara.leg.br/api/v2/votacoes/2349337-4","2023-02-28","2023-02-28T15:52:45","CEXMABRU","https://dadosabertos.camara.leg.br/api/v2/orgaos/539407","https://dadosabertos.camara.leg.br/api/v2/eventos/67120","REQ 8/2023 CEXMABRU","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349337","Aprovado, com  visitas sugeridas pelo Dep. Padre João",1
"2349357-2","https://dadosabertos.camara.leg.br/api/v2/votacoes/2349357-2","2023-02-28","2023-02-28T15:56:00","CEXMABRU","https://dadosabertos.camara.leg.br/api/v2/orgaos/539407","https://dadosabertos.camara.leg.br/api/v2/eventos/67120","REQ 9/2023 CEXMABRU","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349357","Aprovado, subscrito pelo Dep. Helder Salomão.",1
"2349358-3","https://dadosabertos.camara.leg.br/api/v2/votacoes/2349358-3","2023-02-28","2023-02-28T15:58:08","CEXMABRU","https://dadosabertos.camara.leg.br/api/v2/orgaos/539407","https://dadosabertos.camara.leg.br/api/v2/eventos/67120","REQ 10/2023 CEXMABRU","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349358","Aprovado.",1
